Event,Gender,Location,Medal,Name,Nationality,Result,Year
100M Men,M,Athens,G,Thomas BURKE,USA,12,1896
100M Men,M,Paris,G,Frank JARVIS,USA,11,1900
100M Men,M,St Louis,G,Archie HAHN,USA,11,1904
100M Men,M,London,G,Reggie WALKER,RSA,10.8,1908
100M Men,M,Stockholm,G,Ralph CRAIG,USA,10.8,1912
100M Men,M,Antwerp,G,Charles PADDOCK,USA,10.8,1920
100M Men,M,Paris,G,Harold ABRAHAMS,GBR,10.6,1924
100M Men,M,Amsterdam,G,Percy WILLIAMS,CAN,10.8,1928
100M Women,W,Amsterdam,G,Elizabeth ROBINSON,USA,12.2,1928
100M Men,M,Los Angeles,G,Eddie TOLAN,USA,10.3,1932
100M Women,W,Los Angeles,G,Stanislawa WALASIEWICZ,POL,11.9,1932
100M Men,M,Berlin,G,Jesse OWENS,USA,10.3,1936
100M Women,W,Berlin,G,Helen STEPHENS,USA,11.5,1936
100M Men,M,London,G,Harrison DILLARD,USA,10.3,1948
100M Women,W,London,G,Fanny BLANKERS-KOEN,NED,11.9,1948
100M Men,M,Helsinki,G,Lindy REMIGINO,USA,10.4,1952
100M Women,W,Helsinki,G,Marjorie JACKSON,AUS,11.5,1952
100M Men,M,Melbourne / Stockholm,G,Bobby MORROW,USA,10.5,1956
100M Women,W,Melbourne / Stockholm,G,Betty CUTHBERT,AUS,11.5,1956
100M Men,M,Rome,G,Armin HARY,EUA,10.2,1960
100M Women,W,Rome,G,Wilma RUDOLPH,USA,11,1960
100M Men,M,Tokyo,G,Bob HAYES,USA,10,1964
100M Women,W,Tokyo,G,Wyomia TYUS,USA,11.4,1964
100M Men,M,Mexico,G,Jim HINES,USA,9.9,1968
100M Women,W,Mexico,G,Wyomia TYUS,USA,11,1968
100M Men,M,Munich,G,Valery BORZOV,URS,10.14,1972
100M Women,W,Munich,G,Renate STECHER,GDR,11.07,1972
100M Men,M,Montreal,G,Hasely CRAWFORD,TTO,10.06,1976
100M Women,W,Montreal,G,Annegret RICHTER-IRRGANG,FRG,11.08,1976
100M Men,M,Moscow,G,Allan WELLS,GBR,10.25,1980
100M Women,W,Moscow,G,Lyudmila KONDRATYEVA,URS,11.06,1980
100M Men,M,Los Angeles,G,Carl LEWIS,USA,9.99,1984
100M Women,W,Los Angeles,G,Evelyn ASHFORD,USA,10.97,1984
100M Men,M,Barcelona,G,Linford CHRISTIE,GBR,9.96,1992
100M Women,W,Barcelona,G,Gail DEVERS,USA,10.82,1992
100M Men,M,Atlanta,G,Donovan BAILEY,CAN,9.84,1996
100M Women,W,Atlanta,G,Gail DEVERS,USA,10.94,1996
100M Men,M,Sydney,G,Maurice GREENE,USA,9.87,2000
100M Men,M,Athens,G,Justin GATLIN,USA,9.85,2004
100M Women,W,Athens,G,Yuliya NESTSIARENKA,BLR,10.93,2004
100M Men,M,Beijing,G,Usain BOLT,JAM,9.69,2008
100M Women,W,Beijing,G,Shelly-Ann FRASER-PRYCE,JAM,10.78,2008
100M Men,M,London,G,Usain BOLT,JAM,9.63,2012
100M Women,W,London,G,Shelly-Ann FRASER-PRYCE,JAM,10.75,2012
100M Men,M,Rio,G,Usain BOLT,JAM,9.81,2016
100M Women,W,Rio,G,Elaine THOMPSON,JAM,10.71,2016