Event,Gender,Location,Medal,Name,Nationality,Result,Year,F9
100M Men,M,Athens,G,Thomas BURKE,USA,12,1896,
100M Men,M,Athens,S,Fritz HOFMANN,GER,12.2,1896,
100M Men,M,Athens,B,Alajos SZOKOLYI,HUN,12.6,1896,
100M Men,M,Athens,B,Francis LANE,USA,12.6,1896,
100M Men,M,Paris,G,Frank JARVIS,USA,11,1900,
100M Men,M,Paris,S,Walter TEWKSBURY,USA,11.1,1900,
100M Men,M,Paris,B,Stanley ROWLEY,AUS,11.2,1900,
100M Men,M,St Louis,G,Archie HAHN,USA,11,1904,
100M Men,M,St Louis,S,Nate CARTMELL,USA,11.2,1904,
100M Men,M,St Louis,B,William HOGENSON,USA,11.2,1904,
100M Men,M,London,G,Reggie WALKER,RSA,10.8,1908,
100M Men,M,London,S,John RECTOR,USA,None,1908,
100M Men,M,London,B,Robert KERR,CAN,None,1908,
100M Men,M,Stockholm,G,Ralph CRAIG,USA,10.8,1912,
100M Men,M,Stockholm,S,Alvah MEYER,USA,10.9,1912,
100M Men,M,Stockholm,B,Donald LIPPINCOTT,USA,10.9,1912,
100M Men,M,Antwerp,G,Charles PADDOCK,USA,10.8,1920,
100M Men,M,Antwerp,S,Morris KIRKSEY,USA,10.8,1920,
100M Men,M,Antwerp,B,Harry EDWARD,GBR,10.9,1920,
100M Men,M,Paris,G,Harold ABRAHAMS,GBR,10.6,1924,
100M Men,M,Paris,S,Jackson SCHOLZ,USA,10.7,1924,
100M Men,M,Paris,B,Arthur PORRITT,NZL,10.8,1924,
100M Men,M,Amsterdam,G,Percy WILLIAMS,CAN,10.8,1928,
100M Men,M,Amsterdam,S,Jack LONDON,GBR,10.9,1928,
100M Men,M,Amsterdam,B,Georg LAMMERS,GER,10.9,1928,
100M Women,W,Amsterdam,B,Ethel SMITH,CAN,None,1928,
100M Women,W,Amsterdam,G,Elizabeth ROBINSON,USA,12.2,1928,
100M Women,W,Amsterdam,S,Fanny ROSENFELD,CAN,None,1928,
100M Men,M,Los Angeles,G,Eddie TOLAN,USA,10.3,1932,
100M Men,M,Los Angeles,S,Ralph METCALFE,USA,10.3,1932,
100M Men,M,Los Angeles,B,Arthur JONATH,GER,10.4,1932,
100M Women,W,Los Angeles,B,Wilhelmina VON BREMEN,USA,12,1932,
100M Women,W,Los Angeles,G,Stanislawa WALASIEWICZ,POL,11.9,1932,
100M Women,W,Los Angeles,S,Hilda STRIKE,CAN,11.9,1932,
100M Men,M,Berlin,G,Jesse OWENS,USA,10.3,1936,
100M Men,M,Berlin,S,Ralph METCALFE,USA,10.4,1936,
100M Men,M,Berlin,B,Martinus OSENDARP,NED,10.5,1936,
100M Women,W,Berlin,B,KÃ¤the KRAUSS,GER,11.9,1936,
100M Women,W,Berlin,G,Helen STEPHENS,USA,11.5,1936,
100M Women,W,Berlin,S,Stanislawa WALASIEWICZ,POL,11.7,1936,
100M Men,M,London,G,Harrison DILLARD,USA,10.3,1948,
100M Men,M,London,S,Barney EWELL,USA,10.4,1948,
100M Men,M,London,B,Lloyd LABEACH,PAN,10.6,1948,
100M Women,W,London,B,Shirley STRICKLAND,AUS,12.2,1948,
100M Women,W,London,G,Fanny BLANKERS-KOEN,NED,11.9,1948,
100M Women,W,London,S,Dorothy HALL,GBR,12.2,1948,
100M Men,M,Helsinki,G,Lindy REMIGINO,USA,10.4,1952,
100M Men,M,Helsinki,S,Herbert MCKENLEY,JAM,10.4,1952,
100M Men,M,Helsinki,B,Emmanuel McDONALD BAILEY,GBR,10.4,1952,
100M Women,W,Helsinki,B,Shirley STRICKLAND,AUS,11.9,1952,
100M Women,W,Helsinki,G,Marjorie JACKSON,AUS,11.5,1952,
100M Women,W,Helsinki,S,Daphne HASENJAGER,RSA,11.8,1952,
100M Men,M,Melbourne / Stockholm,G,Bobby MORROW,USA,10.5,1956,
100M Men,M,Melbourne / Stockholm,S,Thane BAKER,USA,10.5,1956,
100M Men,M,Melbourne / Stockholm,B,Hector HOGAN,AUS,10.6,1956,
100M Women,W,Melbourne / Stockholm,B,Marlene MATHEWS-WILLARD,AUS,11.7,1956,
100M Women,W,Melbourne / Stockholm,G,Betty CUTHBERT,AUS,11.5,1956,
100M Women,W,Melbourne / Stockholm,S,Christa STUBNICK,EUA,11.7,1956,
100M Men,M,Rome,G,Armin HARY,EUA,10.2,1960,
100M Men,M,Rome,S,Dave SIME,USA,10.2,1960,
100M Men,M,Rome,B,Peter RADFORD,GBR,10.3,1960,
100M Women,W,Rome,B,Giuseppina LEONE,ITA,11.3,1960,
100M Women,W,Rome,G,Wilma RUDOLPH,USA,11,1960,
100M Women,W,Rome,S,Dorothy HYMAN,GBR,11.3,1960,
100M Men,M,Tokyo,G,Bob HAYES,USA,10,1964,
100M Men,M,Tokyo,S,Enrique FIGUEROLA,CUB,10.2,1964,
100M Men,M,Tokyo,B,Harry JEROME,CAN,10.2,1964,
100M Women,W,Tokyo,B,Ewa KLOBUKOWSKA,POL,11.6,1964,
100M Women,W,Tokyo,G,Wyomia TYUS,USA,11.4,1964,
100M Women,W,Tokyo,S,Edith MCGUIRE,USA,11.6,1964,
100M Men,M,Mexico,G,Jim HINES,USA,9.9,1968,
100M Men,M,Mexico,S,Lennox MILLER,JAM,10,1968,
100M Men,M,Mexico,B,Charlie GREENE,USA,10,1968,
100M Women,W,Mexico,B,Irena KIRSZENSTEIN,POL,11.1,1968,
100M Women,W,Mexico,G,Wyomia TYUS,USA,11,1968,
100M Women,W,Mexico,S,Barbara FERRELL,USA,11.1,1968,
100M Men,M,Munich,G,Valery BORZOV,URS,10.14,1972,
100M Men,M,Munich,S,Robert TAYLOR,USA,10.24,1972,
100M Men,M,Munich,B,Lennox MILLER,JAM,10.33,1972,
100M Women,W,Munich,B,Silvia CHIVAS BARO,CUB,11.24,1972,
100M Women,W,Munich,G,Renate STECHER,GDR,11.07,1972,
100M Women,W,Munich,S,Raelene Ann BOYLE,AUS,11.23,1972,
100M Men,M,Montreal,G,Hasely CRAWFORD,TTO,10.06,1976,
100M Men,M,Montreal,S,Donald QUARRIE,JAM,10.08,1976,
100M Men,M,Montreal,B,Valery BORZOV,URS,10.14,1976,
100M Women,W,Montreal,B,Inge HELTEN,FRG,11.17,1976,
100M Women,W,Montreal,G,Annegret RICHTER-IRRGANG,FRG,11.08,1976,
100M Women,W,Montreal,S,Renate STECHER,GDR,11.13,1976,
100M Men,M,Moscow,G,Allan WELLS,GBR,10.25,1980,
100M Men,M,Moscow,S,Silvio LEONARD SARRIA,CUB,10.25,1980,
100M Men,M,Moscow,B,Peter PETROV,BUL,10.39,1980,
100M Women,W,Moscow,B,Ingrid AUERSWALD-LANGE,GDR,11.14,1980,
100M Women,W,Moscow,G,Lyudmila KONDRATYEVA,URS,11.06,1980,
100M Women,W,Moscow,S,Marlies OELSNER-GÃHR,GDR,11.07,1980,
100M Men,M,Los Angeles,G,Carl LEWIS,USA,9.99,1984,
100M Men,M,Los Angeles,S,Sam GRADDY,USA,10.19,1984,
100M Men,M,Los Angeles,B,Ben JOHNSON,CAN,10.22,1984,
100M Women,W,Los Angeles,B,Merlene OTTEY,JAM,11.16,1984,
100M Women,W,Los Angeles,G,Evelyn ASHFORD,USA,10.97,1984,
100M Women,W,Los Angeles,S,Alice BROWN,USA,11.13,1984,
100M Men,M,Barcelona,G,Linford CHRISTIE,GBR,9.96,1992,
100M Men,M,Barcelona,S,Frank FREDERICKS,NAM,10.02,1992,
100M Men,M,Barcelona,B,Dennis MITCHELL,USA,10.04,1992,
100M Women,W,Barcelona,B,Irina PRIVALOVA,EUN,10.84,1992,
100M Women,W,Barcelona,G,Gail DEVERS,USA,10.82,1992,
100M Women,W,Barcelona,S,Juliet CUTHBERT,JAM,10.83,1992,
100M Men,M,Atlanta,G,Donovan BAILEY,CAN,9.84,1996,
100M Men,M,Atlanta,S,Frank FREDERICKS,NAM,9.89,1996,
100M Men,M,Atlanta,B,Ato BOLDON,TTO,9.9,1996,
100M Women,W,Atlanta,B,Gwen TORRENCE,USA,10.96,1996,
100M Women,W,Atlanta,G,Gail DEVERS,USA,10.94,1996,
100M Women,W,Atlanta,S,Merlene OTTEY,JAM,10.94,1996,
100M Men,M,Sydney,G,Maurice GREENE,USA,9.87,2000,
100M Men,M,Sydney,S,Ato BOLDON,TTO,9.99,2000,
100M Men,M,Sydney,B,Obadele THOMPSON,BAR,10.04,2000,
100M Women,W,Sydney,B,Merlene OTTEY,JAM,11.19,2000,
100M Women,W,Sydney,S,Ekaterini THANOU,GRE,11.12,2000,
100M Women,W,Sydney,S,Tanya LAWRENCE,JAM,11.18,2000,
100M Men,M,Athens,G,Justin GATLIN,USA,9.85,2004,
100M Men,M,Athens,S,Francis OBIKWELU,POR,9.86,2004,
100M Men,M,Athens,B,Maurice GREENE,USA,9.87,2004,
100M Women,W,Athens,B,Veronica CAMPBELL-BROWN,JAM,10.97,2004,
100M Women,W,Athens,G,Yuliya NESTSIARENKA,BLR,10.93,2004,
100M Women,W,Athens,S,Lauryn WILLIAMS,USA,10.96,2004,
100M Men,M,Beijing,G,Usain BOLT,JAM,9.69,2008,
100M Men,M,Beijing,S,Richard THOMPSON,TTO,9.89,2008,
100M Men,M,Beijing,B,Walter DIX,USA,9.91,2008,
100M Women,W,Beijing,G,Shelly-Ann FRASER-PRYCE,JAM,10.78,2008,
100M Women,W,Beijing,S,Kerron STEWART,JAM,10.98,2008,
100M Women,W,Beijing,S,Sherone SIMPSON,JAM,10.98,2008,
100M Men,M,London,G,Usain BOLT,JAM,9.63,2012,
100M Men,M,London,S,Yohan BLAKE,JAM,9.75,2012,
100M Men,M,London,B,Justin GATLIN,USA,9.79,2012,
100M Women,W,London,B,Veronica CAMPBELL-BROWN,JAM,10.81,2012,
100M Women,W,London,G,Shelly-Ann FRASER-PRYCE,JAM,10.75,2012,
100M Women,W,London,S,Carmelita JETER,USA,10.78,2012,
100M Men,M,Rio,G,Usain BOLT,JAM,9.81,2016,
100M Men,M,Rio,S,Justin GATLIN,USA,9.89,2016,
100M Men,M,Rio,B,Andre DE GRASSE,CAN,9.91,2016,
100M Women,W,Rio,B,Shelly-Ann FRASER-PRYCE,JAM,10.86,2016,
100M Women,W,Rio,G,Elaine THOMPSON,JAM,10.71,2016,
100M Women,W,Rio,S,Tori BOWIE,USA,10.83,2016,
,,,,,,,,
